drug_name,batch_id,manufacturer,manufacture_date,expiry_date,quantity_received,current_stock,reorder_point,unit_price,region,cold_chain_required
Metformin,MET-2024-001,CarePlus Inc,2022-09-07,2023-09-07,8000,1802,966,46.92,South,No
Paracetamol,PAR-2024-001,PharmaPlus Ltd,2022-10-22,2024-04-14,1000,590,84,26.74,North,No
Amlodipine,AML-2023-001,Vitalis Pharma,2024-08-21,2025-08-21,2000,374,280,34.54,Central,No
Ciprofloxacin,CIP-2025-001,Sunrise Biotech,2023-06-06,2024-06-05,8000,4855,745,60.4,North,No
Atorvastatin,ATO-2025-001,MediCore Labs,2025-03-13,2028-03-12,3000,1567,433,80.68,North,No
Insulin,INS-2023-001,Vitalis Pharma,2024-02-05,2027-02-04,3000,2200,300,382.1,South,Yes
Azithromycin,AZI-2024-001,MediCore Labs,2024-05-01,2025-10-23,5000,2436,736,41.55,Central,No
Metformin,MET-2025-002,PharmaPlus Ltd,2024-12-21,2025-12-21,1000,905,113,43.97,East,No
Salbutamol,SAL-2025-001,Vitalis Pharma,2024-11-29,2026-11-29,10000,4586,1268,81.61,East,Yes
Omeprazole,OME-2023-001,Vitalis Pharma,2023-01-26,2026-01-25,1000,324,100,61.68,East,Yes
Cetirizine,CET-2023-001,MediCore Labs,2024-12-06,2027-12-06,8000,2978,716,22.64,West,No
Salbutamol,SAL-2024-002,CarePlus Inc,2024-07-19,2026-01-10,2000,432,181,98.78,West,Yes
Paracetamol,PAR-2025-002,MediCore Labs,2023-11-21,2025-11-20,1000,266,117,27.07,West,No
Insulin,INS-2025-002,CarePlus Inc,2022-09-19,2025-09-18,10000,7882,1074,326.3,Central,Yes
Azithromycin,AZI-2025-002,PharmaPlus Ltd,2022-10-06,2024-03-29,1000,937,110,41.98,West,No
Azithromycin,AZI-2025-003,MediCore Labs,2025-06-03,2026-06-03,3000,1922,254,43.31,North,Yes
Insulin,INS-2024-003,Vitalis Pharma,2024-06-15,2027-06-15,1000,242,114,381.87,East,Yes
Omeprazole,OME-2024-002,ABC Pharma,2023-03-23,2024-03-22,10000,4241,985,63.18,West,No
Ciprofloxacin,CIP-2023-002,Vitalis Pharma,2024-06-10,2025-12-02,10000,5845,818,68.8,North,No
Salbutamol,SAL-2025-003,Sunrise Biotech,2023-05-09,2025-05-08,2000,1152,269,89.9,East,Yes
Amoxicillin,AMO-2023-001,MediCore Labs,2024-08-29,2026-02-20,2000,1128,209,54.52,Central,No
Ibuprofen,IBU-2024-001,MediCore Labs,2024-05-06,2027-05-06,10000,9404,1468,30.28,West,No
Azithromycin,AZI-2024-004,MediCore Labs,2024-04-22,2025-10-14,5000,3246,715,51.85,South,Yes
Amlodipine,AML-2025-002,ABC Pharma,2023-02-01,2026-01-31,10000,7501,1134,33.37,East,No
Azithromycin,AZI-2024-005,PharmaPlus Ltd,2022-11-21,2024-05-14,2000,1888,163,48.48,West,Yes
Amlodipine,AML-2025-003,Vitalis Pharma,2025-01-27,2027-01-27,2000,1177,178,31.65,South,No
Ciprofloxacin,CIP-2024-003,MediCore Labs,2023-08-07,2024-08-06,3000,960,345,73.39,South,No
Ibuprofen,IBU-2024-002,MediCore Labs,2022-10-03,2024-10-02,5000,3399,685,31.65,Central,No
Ciprofloxacin,CIP-2025-004,Vitalis Pharma,2022-07-09,2025-07-08,2000,1273,268,61.42,South,No
Omeprazole,OME-2025-003,ABC Pharma,2022-10-05,2024-10-04,10000,5646,1188,62.44,Central,No
Ciprofloxacin,CIP-2023-005,MediCore Labs,2023-12-20,2024-12-19,1000,556,119,73.32,North,No
Omeprazole,OME-2025-004,Vitalis Pharma,2025-04-14,2026-10-06,10000,3717,1155,62.82,East,No
Salbutamol,SAL-2024-004,Vitalis Pharma,2023-07-20,2026-07-19,2000,966,214,89.53,Central,Yes
Amlodipine,AML-2024-004,ABC Pharma,2023-08-10,2025-08-09,1000,867,90,39.02,South,No
Insulin,INS-2023-004,PharmaPlus Ltd,2023-08-24,2024-08-23,5000,4289,456,352.11,East,Yes
Amoxicillin,AMO-2025-002,PharmaPlus Ltd,2025-04-21,2028-04-20,3000,1461,314,55.66,South,No
Paracetamol,PAR-2025-003,PharmaPlus Ltd,2024-11-19,2025-11-19,5000,2075,618,26.34,East,No
Azithromycin,AZI-2023-006,ABC Pharma,2023-11-26,2025-11-25,1000,874,92,50.7,South,Yes
Amlodipine,AML-2024-005,MediCore Labs,2025-06-03,2028-06-02,10000,4116,995,39.9,East,No
Cetirizine,CET-2024-002,ABC Pharma,2022-11-29,2024-11-28,1000,636,95,21.55,North,No
Omeprazole,OME-2024-005,Vitalis Pharma,2024-10-03,2026-10-03,8000,2027,935,53.43,North,No
Insulin,INS-2023-005,MediCore Labs,2023-07-19,2025-07-18,10000,3940,1331,315.84,East,Yes
Ciprofloxacin,CIP-2024-006,Sunrise Biotech,2022-07-08,2024-07-07,1000,162,131,69.25,South,No
Ciprofloxacin,CIP-2023-007,PharmaPlus Ltd,2023-01-04,2026-01-03,10000,5460,1384,66.17,West,No
Salbutamol,SAL-2023-005,Sunrise Biotech,2023-07-12,2025-01-02,5000,4707,743,103.6,South,Yes
Paracetamol,PAR-2025-004,CarePlus Inc,2023-11-06,2026-11-05,2000,388,253,25.36,North,No
Atorvastatin,ATO-2025-002,Sunrise Biotech,2022-09-01,2025-08-31,2000,552,222,78.32,South,No
Ciprofloxacin,CIP-2023-008,ABC Pharma,2024-02-24,2025-08-17,3000,889,310,60.14,East,No
Ciprofloxacin,CIP-2023-009,Vitalis Pharma,2022-06-11,2023-06-11,3000,2410,270,69.94,South,Yes
Paracetamol,PAR-2024-005,CarePlus Inc,2023-09-20,2024-09-19,8000,7328,1117,23.66,East,Yes
Metformin,MET-2023-003,Sunrise Biotech,2023-03-24,2024-03-23,10000,8635,1239,44.81,West,No
Ciprofloxacin,CIP-2025-010,ABC Pharma,2023-09-14,2024-09-13,1000,183,124,77.21,Central,Yes
Omeprazole,OME-2023-006,CarePlus Inc,2022-07-09,2023-12-31,5000,1805,559,50.66,Central,No
Amlodipine,AML-2023-006,CarePlus Inc,2025-01-26,2027-01-26,1000,826,96,39.44,Central,No
Salbutamol,SAL-2024-006,PharmaPlus Ltd,2022-11-05,2025-11-04,10000,3798,832,98.09,West,Yes
Amoxicillin,AMO-2025-003,MediCore Labs,2024-04-10,2026-04-10,10000,7445,1013,64.22,North,No
Omeprazole,OME-2024-007,Sunrise Biotech,2022-12-21,2024-06-13,10000,5416,1296,54.21,North,Yes
Omeprazole,OME-2025-008,MediCore Labs,2024-02-29,2025-02-28,5000,820,560,63.03,North,Yes
Ibuprofen,IBU-2023-003,MediCore Labs,2022-10-31,2023-10-31,2000,1495,196,30.24,West,No
Azithromycin,AZI-2023-007,PharmaPlus Ltd,2025-02-20,2028-02-20,1000,277,146,49.7,East,Yes
Ibuprofen,IBU-2024-004,Sunrise Biotech,2024-07-10,2026-07-10,1000,822,80,33.76,South,Yes
Azithromycin,AZI-2025-008,ABC Pharma,2024-01-15,2026-01-14,3000,605,321,52.24,South,No
Metformin,MET-2024-004,ABC Pharma,2023-12-27,2024-12-26,1000,817,99,47.23,West,No
Ibuprofen,IBU-2025-005,Sunrise Biotech,2023-06-24,2025-06-23,5000,4287,684,32.68,West,No
Salbutamol,SAL-2023-007,CarePlus Inc,2024-09-19,2027-09-19,8000,6017,1000,88.73,North,Yes
Paracetamol,PAR-2023-006,MediCore Labs,2025-01-23,2028-01-23,3000,1126,293,28.04,Central,No
Cetirizine,CET-2024-003,PharmaPlus Ltd,2024-08-16,2025-08-16,2000,1329,170,23.1,South,Yes
Ciprofloxacin,CIP-2024-011,Sunrise Biotech,2024-12-08,2027-12-08,2000,1176,194,61.91,South,No
Metformin,MET-2024-005,Sunrise Biotech,2023-07-19,2024-07-18,10000,8464,1067,44.95,South,No
Cetirizine,CET-2024-004,ABC Pharma,2025-03-17,2027-03-17,8000,7393,710,23.12,East,No
Azithromycin,AZI-2023-009,PharmaPlus Ltd,2024-08-27,2027-08-27,5000,4565,697,52.28,East,No
Insulin,INS-2024-006,CarePlus Inc,2025-01-25,2028-01-25,1000,208,145,377.1,North,Yes
Ciprofloxacin,CIP-2024-012,MediCore Labs,2023-01-10,2024-07-03,2000,543,296,60.62,West,Yes
Azithromycin,AZI-2023-010,ABC Pharma,2023-02-13,2024-08-06,8000,7087,1001,44.6,Central,No
Amlodipine,AML-2025-007,CarePlus Inc,2024-11-12,2025-11-12,1000,206,116,37.62,East,Yes
Ibuprofen,IBU-2025-006,ABC Pharma,2022-06-22,2024-06-21,5000,1864,510,34.55,South,No
Omeprazole,OME-2023-009,Vitalis Pharma,2023-10-19,2024-10-18,5000,3568,507,49.86,Central,Yes
Amlodipine,AML-2023-008,Sunrise Biotech,2023-09-10,2026-09-09,3000,994,247,35.05,West,Yes
Metformin,MET-2023-006,ABC Pharma,2024-01-20,2025-01-19,2000,1093,188,45.19,West,No
Amoxicillin,AMO-2023-004,Sunrise Biotech,2024-01-26,2025-01-25,8000,4372,744,58.02,West,Yes
Amlodipine,AML-2025-009,MediCore Labs,2024-08-14,2025-08-14,2000,337,243,35.86,North,No
Insulin,INS-2024-007,CarePlus Inc,2024-03-05,2025-03-05,1000,895,103,305.81,West,Yes
Ciprofloxacin,CIP-2023-013,Sunrise Biotech,2024-07-15,2026-07-15,3000,1511,262,60.03,West,No
Metformin,MET-2023-007,Vitalis Pharma,2023-07-30,2026-07-29,3000,2294,304,45.65,West,No
Paracetamol,PAR-2023-007,Sunrise Biotech,2025-06-14,2028-06-13,2000,817,263,26.06,West,Yes
Amoxicillin,AMO-2023-005,PharmaPlus Ltd,2022-08-11,2025-08-10,1000,792,84,57.51,West,No
Atorvastatin,ATO-2024-003,Sunrise Biotech,2024-04-17,2025-04-17,3000,2241,384,94.18,East,No
Paracetamol,PAR-2025-008,ABC Pharma,2022-07-20,2024-01-11,1000,530,146,29.65,Central,Yes
Ibuprofen,IBU-2024-007,MediCore Labs,2025-03-13,2026-09-04,1000,792,131,34.4,West,No
Atorvastatin,ATO-2024-004,Sunrise Biotech,2024-12-30,2026-12-30,8000,1705,750,90.07,South,No
Cetirizine,CET-2025-005,ABC Pharma,2025-02-11,2027-02-11,2000,1868,283,26.32,North,No
Atorvastatin,ATO-2023-005,ABC Pharma,2024-10-10,2027-10-10,10000,9276,921,75.19,North,Yes
Atorvastatin,ATO-2025-006,Vitalis Pharma,2023-02-04,2025-02-03,3000,1120,296,78.1,South,No
Amoxicillin,AMO-2023-006,MediCore Labs,2023-10-16,2025-04-08,2000,750,287,57.39,West,No
Cetirizine,CET-2023-006,Vitalis Pharma,2025-05-13,2026-11-04,10000,7967,1257,26.34,East,No
Paracetamol,PAR-2023-009,PharmaPlus Ltd,2024-07-05,2025-07-05,3000,1008,250,27.0,West,No
Azithromycin,AZI-2025-011,MediCore Labs,2024-12-06,2026-12-06,10000,9065,874,48.55,East,No
Amoxicillin,AMO-2024-007,Sunrise Biotech,2023-03-17,2024-03-16,2000,1899,165,67.18,North,No
Paracetamol,PAR-2024-010,CarePlus Inc,2024-07-01,2025-12-23,8000,3198,753,28.46,East,Yes
Azithromycin,AZI-2023-012,PharmaPlus Ltd,2023-04-13,2024-04-12,10000,2809,1286,46.03,West,No
Amlodipine,AML-2024-010,ABC Pharma,2024-03-01,2026-03-01,5000,2415,702,41.96,East,No
Amlodipine,AML-2024-011,CarePlus Inc,2024-09-07,2026-03-01,1000,497,90,32.69,South,No
Cetirizine,CET-2024-007,PharmaPlus Ltd,2023-04-29,2024-10-20,1000,191,89,25.12,Central,Yes
Azithromycin,AZI-2025-013,Sunrise Biotech,2025-03-30,2026-09-21,2000,856,182,42.82,Central,No
Azithromycin,AZI-2024-014,MediCore Labs,2024-02-08,2025-08-01,1000,930,113,41.22,West,Yes
Azithromycin,AZI-2025-015,MediCore Labs,2023-08-29,2026-08-28,8000,6616,1104,42.97,Central,No
Paracetamol,PAR-2025-011,MediCore Labs,2024-07-25,2026-07-25,1000,269,147,28.62,West,No
Paracetamol,PAR-2025-012,ABC Pharma,2024-03-25,2025-03-25,5000,3148,592,27.2,Central,No
Amlodipine,AML-2024-012,Vitalis Pharma,2023-10-24,2026-10-23,5000,3385,556,36.1,West,No
Paracetamol,PAR-2024-013,PharmaPlus Ltd,2023-09-25,2026-09-24,8000,6191,896,23.85,Central,Yes
Cetirizine,CET-2023-008,MediCore Labs,2024-06-04,2027-06-04,3000,670,332,23.17,North,No
Paracetamol,PAR-2023-014,CarePlus Inc,2024-03-04,2025-03-04,1000,751,142,27.4,South,No
Paracetamol,PAR-2025-015,CarePlus Inc,2023-01-11,2024-07-04,2000,1870,228,29.67,North,No
Amlodipine,AML-2023-013,Sunrise Biotech,2023-10-30,2025-04-22,3000,2601,297,40.06,South,No
Ibuprofen,IBU-2024-008,MediCore Labs,2023-11-21,2025-05-14,3000,1343,281,30.63,Central,No
Amlodipine,AML-2024-014,MediCore Labs,2023-11-24,2024-11-23,8000,1510,1120,41.64,East,Yes
Ciprofloxacin,CIP-2025-014,CarePlus Inc,2023-01-01,2024-12-31,8000,5230,860,74.05,Central,No
Cetirizine,CET-2025-009,MediCore Labs,2024-06-07,2026-06-07,1000,503,92,24.71,East,No
Ibuprofen,IBU-2024-009,Sunrise Biotech,2024-03-02,2025-03-02,10000,1770,904,32.54,Central,Yes
Cetirizine,CET-2024-010,ABC Pharma,2023-02-26,2026-02-25,2000,1280,166,20.16,Central,No
Ibuprofen,IBU-2025-010,Sunrise Biotech,2025-05-29,2026-11-20,5000,3084,606,28.84,North,Yes
Insulin,INS-2023-008,MediCore Labs,2023-04-02,2026-04-01,1000,200,90,351.89,South,Yes
Ibuprofen,IBU-2024-011,ABC Pharma,2022-09-23,2024-09-22,8000,5331,888,35.43,West,Yes
Amoxicillin,AMO-2023-008,ABC Pharma,2022-10-05,2023-10-05,5000,1492,455,70.41,South,No
Paracetamol,PAR-2025-016,CarePlus Inc,2023-07-09,2024-12-30,5000,1548,612,26.3,Central,Yes
Atorvastatin,ATO-2025-007,Sunrise Biotech,2022-10-09,2024-10-08,10000,1887,1422,90.79,South,No
Cetirizine,CET-2025-011,PharmaPlus Ltd,2022-11-12,2025-11-11,2000,661,174,21.33,West,No
Azithromycin,AZI-2025-016,CarePlus Inc,2023-11-22,2024-11-21,3000,1976,382,49.76,East,No
Ibuprofen,IBU-2023-012,Vitalis Pharma,2022-07-02,2023-12-24,3000,2621,416,28.82,South,No
Salbutamol,SAL-2023-008,PharmaPlus Ltd,2024-04-03,2025-09-25,5000,4380,620,99.71,East,Yes
Amlodipine,AML-2024-015,PharmaPlus Ltd,2025-05-22,2026-05-22,1000,499,130,37.49,Central,No
Amoxicillin,AMO-2025-009,Vitalis Pharma,2022-11-07,2024-04-30,2000,352,175,65.2,West,No
Metformin,MET-2025-008,ABC Pharma,2022-08-03,2023-08-03,2000,1408,248,44.36,South,No
Azithromycin,AZI-2024-017,MediCore Labs,2025-05-29,2026-05-29,10000,9054,874,43.28,Central,No
Paracetamol,PAR-2025-017,ABC Pharma,2024-01-10,2027-01-09,1000,256,135,27.35,North,No
Metformin,MET-2024-009,Sunrise Biotech,2022-07-13,2024-07-12,3000,2682,250,45.12,East,No
Atorvastatin,ATO-2024-008,Sunrise Biotech,2022-08-03,2025-08-02,1000,499,134,80.32,Central,No
Ciprofloxacin,CIP-2023-015,CarePlus Inc,2022-12-04,2024-12-03,2000,997,233,64.12,Central,No
Paracetamol,PAR-2024-018,ABC Pharma,2025-03-03,2026-08-25,5000,3120,735,26.36,East,No
